Index,FirstName,IsMale,IsFemale
686,Alana,false,true
687,Alani,false,true
688,Alanis,false,true
689,Alanna,false,true
690,Alannah,false,true
691,Alannis,false,true
692,Alaois,true,false
693,Alard,true,false
694,Alaric,true,false
695,Alasdair,true,false
696,Alassane,true,false
697,Alastair,true,false
698,Alastar,true,false
699,Alastríona,false,true
700,Alaya,false,true
701,Alayah,false,true
702,Alayna,false,true
703,Alazne,false,true
704,Alba,false,true
705,Albaer,true,false
706,Alban,true,false
707,Albano,true,false
708,Albanus,true,false
709,Albena,false,true
710,Alberic,true,false
711,Alberich,true,false
712,Alberico,true,false
713,Albert,true,false
714,Alberta,false,true
715,Albertas,true,false
716,Alberte,true,true
717,Albertina,false,true
718,Albertine,false,true
719,Alberto,true,false
720,Albertus,true,false
721,Albie,true,false
722,Albin,true,false
723,Albína,false,true
724,Albina,false,true
725,Albine,false,true
726,Albino,true,false
727,Albinus,true,false
728,Alboin,true,false
729,Alborz,true,false
730,Albrecht,true,false
731,Albus,true,false
732,Alby,true,false
733,Alcaeus,true,false
734,Alcibiades,true,false
735,Alcide,true,false
736,Alcides,true,false
737,Alcippe,false,true
738,Alcmene,false,true
739,Alcyone,false,true
740,Alda,false,true
741,Aldara,false,true
742,Aldebrand,true,false
743,Aldegar,true,false
744,Aldegonda,false,true
745,Aldegund,false,true
746,Alden,true,false
747,Aldéric,true,false
748,Aldert,true,false
749,Aldhard,true,false
750,Aldin,true,false
751,Aldina,false,true
752,Aldith,false,true
753,Aldo,true,false
754,Aldona,false,true
755,Aldous,true,false
756,Aldreda,false,true
757,Aldric,true,false
758,Aldus,true,true
759,Aldwin,true,false
760,Ale,true,true
761,Alea,false,true
762,Aleah,false,true
763,Alease,false,true
764,Alec,true,false
765,Alecia,false,true
766,Aleĉjo,true,false
767,Alecto,false,true
768,Aled,true,false
769,Aleesha,false,true
770,Aleid,false,true
771,Aleida,false,true
772,Áleifr,true,false
773,Aleix,true,false
774,Aleixo,true,false
775,Alejandra,false,true
776,Alejandro,true,false
777,Alejo,true,false
778,Aleka,false,true
779,Alekos,true,false
780,Aleks,true,true
781,Aleksandar,true,false
782,Aleksandër,true,false
783,Aleksander,true,false
784,Aleksandr,true,false
785,Aleksandra,false,true
786,Aleksandras,true,false
787,Aleksandre,true,false
788,Aleksandrina,false,true
789,Aleksandro,true,false
790,Aleksandrs,true,false
791,Aleksandru,true,false
792,Aleksanteri,true,false
793,Aleksei,true,false
794,Aleksej,true,false
795,Aleksejs,true,false
796,Aleksey,true,false
797,Aleksi,true,false
798,Aleksy,true,false
799,Alekto,false,true
800,Alem,true,false
801,Alemayehu,true,true
802,Alen,true,false
803,Alena,false,true
804,Alene,false,true
805,Alenka,false,true
806,Aleš,true,false
807,Alesander,true,false
808,Alesha,false,true
809,Alesia,false,true
810,Alessa,false,true
811,Alessandra,false,true
812,Alessandro,true,false
813,Alessia,false,true
814,Alessio,true,false
815,Alesya,false,true
816,Aleta,false,true
817,Aletha,false,true
818,Alethea,false,true
819,Alevtina,false,true
820,Álex,true,false
821,Àlex,true,false
822,Alex,true,true
823,Alexa,false,true
824,Alexander,true,false
825,Alexandr,true,false
826,Alexandra,false,true
827,Alexandre,true,false
828,Alexandrea,false,true
829,Alexandria,false,true
830,Alexandrie,false,true
831,Alexandrina,false,true
832,Alexandrine,false,true
833,Alexandros,true,false
834,Alexandru,true,false
835,Alexei,true,false
836,Alexej,true,false
837,Alexey,true,false
838,Alèxia,false,true
839,Alexia,false,true
840,Alexina,false,true
841,Alexios,true,false
842,Alexis,true,true
843,Alexius,true,false
844,Alexsandr,true,false
845,Alexus,false,true
846,Aleyna,false,true
847,Alf,true,false
848,Alfarr,true,false
849,Alfbern,true,false
850,Alfeo,true,false
851,Alfhard,true,false
852,Alfher,true,false
853,Alfhild,false,true
854,Alfhildr,false,true
855,Alfia,false,true
856,Alfie,true,false
857,Alfio,true,false
858,Alfiya,false,true
859,Alfons,true,false
860,Alfonsina,false,true
861,Alfonso,true,false
862,Alfonz,true,false
863,Alfr,true,false
864,Alfréd,true,false
865,Alfred,true,false
866,Alfreda,false,true
867,Alfredas,true,false
868,Alfredo,true,false
869,Alfvin,true,false
870,Alfwin,true,false
871,Algar,true,false
872,Algautr,true,false
873,Alger,true,false
874,Algernon,true,false
875,Algimantas,true,false
876,Algirdas,true,false
877,Algot,true,false
878,Alhaji,true,false
879,Al-Hasan,true,false
880,Alhassan,true,false
881,Alheri,false,true
882,'Ali,true,false
883,Əli,true,false
884,Ali,true,true
885,Alia,false,true
886,Aliah,false,true
887,Aliaksandr,true,false
888,Aliaksandra,false,true
889,Aliaksei,true,false
890,Alica,false,true
891,Alice,false,true
892,Alícia,false,true
893,Alicia,false,true
894,Alicja,false,true
895,Alida,false,true
896,Aliénor,false,true
897,Alienòr,false,true
898,Aliisa,false,true
899,Alija,true,false
900,Alik,true,false
901,Alikhan,true,false
902,Aliki,false,true
903,Alim,true,false
904,Alimjan,true,false
905,Alin,true,false
906,Alīna,false,true
907,Alina,false,true
908,Alinafe,true,true
909,Aline,false,true
910,Aliona,false,true
911,Aliprand,true,false
912,Alis,false,true
913,Alisa,false,true
914,Alise,false,true
915,Alisha,false,true
916,Alisher,true,false
917,Alishia,false,true
918,Alisia,false,true
919,Alison,false,true
920,Alissa,false,true
921,Alistair,true,false
922,Alister,true,false
923,Alisya,false,true
924,Alita,false,true
925,Alivia,false,true
926,Alix,true,true
927,Aliya,false,true
928,Aliyah,false,true
929,Aliye,false,true
930,Aliyya,false,true
931,Aliyyah,false,true
932,Alíz,false,true
933,Aliz,false,true
934,Aliza,false,true
935,Alizée,false,true
936,Alja,false,true
937,Aljaž,true,false
938,Aljoša,true,true
939,Alkaios,true,false
940,Alke,true,false
941,Alkeides,true,false
942,Alkibiades,true,false
943,Alkippe,false,true
944,Alkiviadis,true,false
945,Alkmene,false,true
946,Alkmini,false,true
947,Alkyone,false,true
948,Alla,false,true
949,Allah,true,false
950,Allan,true,false
951,Allana,false,true
952,Allannah,false,true
953,Allard,true,false
954,Alle,true,false
955,Allegra,false,true
956,Allegria,false,true
957,Allen,true,false
958,Alli,false,true
959,Allie,false,true
960,Allison,true,true
961,Allissa,false,true
962,Allochka,false,true
963,Allon,true,false
964,Allovera,false,true
965,Ally,true,true
966,Allycia,false,true
967,Allyn,true,true
968,Allyson,false,true
969,Alma,false,true
970,Almas,true,true
971,Almast,false,true
972,Almir,true,false
973,Almira,false,true
974,Almiro,true,false
975,Almog,true,true
976,Álmos,true,false
977,Almudena,false,true
978,Alodia,false,true
979,Álǫf,false,true
980,Alois,true,false
981,Aloisia,false,true
982,Aloísio,true,false
983,Aloisio,true,false
984,Alojz,true,false
985,Alojzia,false,true
986,Alojzij,true,false
987,Alojzija,false,true
988,Alojzije,true,false
989,Alojzy,true,false
990,Alon,true,false
991,Alona,false,true
992,Alondra,false,true
993,Alonso,true,false
994,Alonzo,true,false
995,Aloys,true,false
996,Aloysius,true,false
997,Alp,true,false
998,Alparslan,true,false
999,Alpaslan,true,false
1000,Alperen,true,false
1001,Alpertti,true,false
1002,Alpha,true,true
1003,Alphaeus,true,false
1004,Alphaios,true,false
1005,Alphege,true,false
1006,Alphius,true,false
1007,Alphonse,true,false
1008,Alphonsine,false,true
1009,Alphonso,true,false
1010,Alphonsus,true,false
1011,Alphonzo,true,false
1012,Alpin,true,false
1013,Alta,false,true
1014,Altagracia,false,true
1015,Altair,true,false
1016,Altan,true,false
1017,Altansarnai,false,true
1018,Altantsetseg,false,true
1019,Alte,true,true
1020,Alter,true,false
1021,Althea,false,true
1022,Alton,true,false
1023,Altti,true,false
1024,Altwidus,true,false
1025,Aludra,false,true
1026,Alun,true,false
1027,Alv,true,false
1028,Alva,true,true
1029,Alvah,true,false
1030,Alvar,true,false
1031,Álvaro,true,false
1032,Alvena,false,true
1033,Alvilda,false,true
1034,Alvilde,false,true
1035,Alvin,true,false
1036,Alvina,false,true
1037,Alvis,true,false
1038,Alvise,true,false
1039,Alvíss,true,false
1040,Alwilda,false,true
1041,Alwin,true,false
1042,Alwine,false,true
1043,Alwyn,true,false
1044,Alya,false,true
1045,Alyce,false,true
1046,Alycia,false,true
1047,Alyona,false,true
1048,Alyonka,false,true
1049,Alyosha,true,false
1050,Alys,false,true
1051,Alysa,false,true
1052,Alyse,false,true
1053,Alysha,false,true
1054,Alysia,false,true
1055,Alyson,false,true
1056,Alyssa,false,true
1057,Alyssia,false,true
1058,Alyx,false,true
1059,Alžběta,false,true
1060,Alžbeta,false,true
1061,Ama,false,true
1062,Amaal,false,true
1063,Amabel,false,true
1064,Amabilia,false,true
1065,Amabilis,true,false
1066,Amable,true,true
